Objective Function,Start X,Start Y,max_iter,lr,x,success,status,message,fun,nit,nfev,runtime
nonconvex,-7.0,-4.0,5000,0.001,"-6.857447719432588, -3.862014765096868",true,0,Custom optimization converged after 4999 iterations.,62.820405987308895,5000,4999,0.030339299999468494
nonconvex,10.0,10.0,5000,0.001,"9.861464205824502, 9.861464205824502",true,0,Custom optimization converged after 4999 iterations.,176.37378952304323,5000,4999,0.03238419999979669
nonconvex,-7.0,-4.0,5000,0.01,"-5.378068425521878, -2.9212062513958212",true,0,Custom optimization converged after 4999 iterations.,33.874872002440114,5000,4999,0.03624839999974938
nonconvex,10.0,10.0,5000,0.01,"8.786388885286831, 8.786388885286831",true,0,Custom optimization converged after 4999 iterations.,138.3401242170604,5000,4999,0.03648810000049707
nonconvex,-7.0,-4.0,5000,0.1,"-2.5960215199790335, -2.595739079649813",true,0,Custom optimization converged after 2515 iterations.,-3.617966262949148,2516,2515,0.02009580000049027
nonconvex,10.0,10.0,5000,0.1,"2.5960637171223744, 2.5960637171223744",true,0,Custom optimization converged after 4813 iterations.,-3.617965572057166,4814,4813,0.05457899999964866
rosenbrock,-7.0,-4.0,5000,0.001,"-6.86144960603448, -3.860974374547409",true,0,Custom optimization converged after 4999 iterations.,259554.90055180984,5000,4999,0.04851749999943422
rosenbrock,10.0,10.0,5000,0.001,"9.861142384977546, 10.139190069146046",true,0,Custom optimization converged after 4999 iterations.,758770.7192667219,5000,4999,0.06586389999938547
rosenbrock,-7.0,-4.0,5000,0.01,"-5.74118960399451, -2.6944403386470013",true,0,Custom optimization converged after 4999 iterations.,127178.32653108946,5000,4999,0.04909109999971406
rosenbrock,10.0,10.0,5000,0.01,"8.711761519413582, 11.320861047545284",true,0,Custom optimization converged after 4999 iterations.,417038.6854308743,5000,4999,0.04084250000050815
rosenbrock,-7.0,-4.0,5000,0.1,"-2.03831133429216, 2.732370018672854",true,0,Custom optimization converged after 4999 iterations.,211.53731858500487,5000,4999,0.04994800000167743
rosenbrock,10.0,10.0,5000,0.1,"4.374159581025124, 16.87972818597429",true,0,Custom optimization converged after 4999 iterations.,519.2309432033719,5000,4999,0.05254619999868737
convex_bowl,-7.0,-4.0,5000,0.001,"-6.860510522473886, -3.8608735946894015",true,0,Custom optimization converged after 4999 iterations.,61.97294954314478,5000,4999,0.04535720000058063
convex_bowl,10.0,10.0,5000,0.001,"9.860366286584718, 9.860366286584718",true,0,Custom optimization converged after 4999 iterations.,194.45364661123298,5000,4999,0.04597970000031637
convex_bowl,-7.0,-4.0,5000,0.01,"-5.651098687289636, -2.693680355779833",true,0,Custom optimization converged after 4999 iterations.,39.19083023260082,5000,4999,0.0452411000005668
convex_bowl,10.0,10.0,5000,0.01,"8.635168532268098, 8.635168532268098",true,0,Custom optimization converged after 4999 iterations.,149.13227116134635,5000,4999,0.04454179999993357
convex_bowl,-7.0,-4.0,5000,0.1,"-0.08555225486603228, -2.0882851477082843e-05",true,0,Custom optimization converged after 4999 iterations.,0.00731918874875603,5000,4999,0.044316399998933775
convex_bowl,10.0,10.0,5000,0.1,"0.8829001503572045, 0.8829001503572045",true,0,Custom optimization converged after 4999 iterations.,1.5590253510015486,5000,4999,0.044401400000424474
