Objective Function,Start X,Start Y,max_iter,lr,x,success,status,message,fun,nit,nfev,avg_runtime,stdev_runtime,N_runs
nonconvex,-7.0,-4.0,5000,0.001,"-2.7372019183204697, -2.5957394028302034",true,0,Custom optimization converged after 4999 iterations.,-3.5101318831419377,5000,4999,0.042049108000173877,0.004582593752895265,100
nonconvex,10.0,10.0,5000,0.001,"5.877008676583085, 5.877008676583085",true,0,Custom optimization converged after 4999 iterations.,87.45122489954024,5000,4999,0.04079715699983353,0.002744443056858602,100
nonconvex,1.0,-1.0,5000,0.001,"2.5956282710930294, -2.5956282710930294",true,0,Custom optimization converged after 3602 iterations.,-3.6179665541454717,3603,3602,0.03125272499990388,0.0021883891059578855,100
nonconvex,-7.0,-4.0,5000,0.01,"-2.59579445765767, -2.5957390796498",true,0,Custom optimization converged after 1079 iterations.,-3.6179666674706557,1080,1079,0.009855058999855828,0.0011424749372118518,100
nonconvex,10.0,10.0,5000,0.01,"2.5957814229695404, 2.5957814229695404",true,0,Custom optimization converged after 1566 iterations.,-3.6179666647327657,1567,1566,0.018256379999947968,0.004180470049325276,100
nonconvex,1.0,-1.0,5000,0.01,"2.5957326047208285, -2.5957326047208285",true,0,Custom optimization converged after 401 iterations.,-3.617966683200759,402,401,0.005081075999733002,0.0021482453872615857,100
nonconvex,-7.0,-4.0,5000,0.1,"-2.595207941418819, -2.5956321173472263",true,0,Custom optimization converged after 181 iterations.,-3.6179651357671023,182,181,0.0024871840003834224,0.00043099707553871555,100
nonconvex,10.0,10.0,5000,0.1,"2.5958225035641442, 2.5958225035641442",true,0,Custom optimization converged after 260 iterations.,-3.6179666102406394,261,260,0.0035211679998246835,0.0004380912728300198,100
nonconvex,1.0,-1.0,5000,0.1,"2.5957689923123066, -2.5957689923123066",true,0,Custom optimization converged after 204 iterations.,-3.617966674205915,205,204,0.0027668820000690177,0.00037452699333695883,100
rosenbrock,-7.0,-4.0,5000,0.001,"-3.496442867720993, -0.004799138894707254",true,0,Custom optimization converged after 4999 iterations.,14977.292423797593,5000,4999,0.05841180700001132,0.005164179503807619,100
rosenbrock,10.0,10.0,5000,0.001,"6.218529172942202, 14.120049251553159",true,0,Custom optimization converged after 4999 iterations.,60297.75713885461,5000,4999,0.04181833299990103,0.003959430763881453,100
rosenbrock,1.0,-1.0,5000,0.001,"0.32074126804964675, 0.10051772574091127",true,0,Custom optimization converged after 4999 iterations.,0.46194808075165933,5000,4999,0.04508497799994075,0.007490025794243724,100
rosenbrock,-7.0,-4.0,5000,0.01,"-1.8813212458757216, 3.5437262937746326",true,0,Custom optimization converged after 4999 iterations.,8.303910173699556,5000,4999,0.041482109000135096,0.004702562801021906,100
rosenbrock,10.0,10.0,5000,0.01,"4.186467261771804, 17.52959800821627",true,0,Custom optimization converged after 4999 iterations.,10.154528342680498,5000,4999,0.047810365999976054,0.010323792207831984,100
rosenbrock,1.0,-1.0,5000,0.01,"0.8713510289960056, 0.75876319364862",true,0,Custom optimization converged after 4999 iterations.,0.016574511137995535,5000,4999,0.04678436500020325,0.008059766404001953,100
rosenbrock,-7.0,-4.0,5000,0.1,"-1.4633562756812, 2.1450128576775174",true,0,Custom optimization converged after 4999 iterations.,6.0694210541321745,5000,4999,0.05040424300008453,0.010077189605205988,100
rosenbrock,10.0,10.0,5000,0.1,"4.09880682931416, 16.803232961080287",true,0,Custom optimization converged after 4999 iterations.,9.603513111772795,5000,4999,0.05692011500002991,0.008915774385199344,100
rosenbrock,1.0,-1.0,5000,0.1,"0.9999321789283109, 0.9998641214205991",true,0,Custom optimization converged after 2867 iterations.,4.605507586911157e-9,2868,2867,0.03520991999972466,0.006913139577216406,100
convex_bowl,-7.0,-4.0,5000,0.001,"-2.6433969867954064, -0.40293639176537865",true,0,Custom optimization converged after 4999 iterations.,7.149905365607936,5000,4999,0.0558290869999837,0.005268701316326921,100
convex_bowl,10.0,10.0,5000,0.001,"5.410033828496295, 5.410033828496295",true,0,Custom optimization converged after 4999 iterations.,58.53693205094856,5000,4999,0.03822259100012161,0.0025397703115653883,100
convex_bowl,1.0,-1.0,5000,0.001,"0.0001114027655518858, -0.0001114027655518858",true,0,Custom optimization converged after 3105 iterations.,2.4821152345216867e-8,3106,3105,0.026031500000026426,0.0035822915762111275,100
convex_bowl,-7.0,-4.0,5000,0.01,"-0.00011312517772100554, -5.589573500837714e-13",true,0,Custom optimization converged after 2556 iterations.,1.2797305834409087e-8,2557,2556,0.0229739050000353,0.0073505247217135585,100
convex_bowl,10.0,10.0,5000,0.01,"9.113759870709655e-05, 9.113759870709655e-05",true,0,Custom optimization converged after 3461 iterations.,1.661212379619153e-8,3462,3461,0.028331127999990713,0.002942551390488097,100
convex_bowl,1.0,-1.0,5000,0.01,"4.239265471501436e-06, -4.239265471501436e-06",true,0,Custom optimization converged after 344 iterations.,3.594274347572858e-11,345,344,0.0045559540000977,0.0006127723818371073,100
convex_bowl,-7.0,-4.0,5000,0.1,"-7.672955384674168e-05, 2.716841667714049e-06",true,0,Custom optimization converged after 257 iterations.,5.894805662167458e-9,258,257,0.002109659999878204,0.00045269485177654216,100
convex_bowl,10.0,10.0,5000,0.1,"-1.837787736354302e-05, -1.837787736354302e-05",true,0,Custom optimization converged after 364 iterations.,6.754927527788539e-10,365,364,0.0029114619997926638,0.0004748077305762487,100
convex_bowl,1.0,-1.0,5000,0.1,"-3.5551475781407584e-05, 3.5551475781407584e-05",true,0,Custom optimization converged after 194 iterations.,2.5278148604720198e-9,195,194,0.0026640059997953356,0.0003951911481269743,100
