Objective Function,Start X,Start Y,Learning Rate,End X,End Y,Function At End,Number of Iterations,Avg Runtime,Stdev Runtime
nonconvex,-7.0,-4.0,0.001,-2.737202,-2.595739,-3.510132,5000,0.042049,0.004583
nonconvex,10.0,10.0,0.001,5.877009,5.877009,87.451225,5000,0.040797,0.002744
nonconvex,1.0,-1.0,0.001,2.595628,-2.595628,-3.617967,3603,0.031253,0.002188
nonconvex,-7.0,-4.0,0.01,-2.595794,-2.595739,-3.617967,1080,0.009855,0.001142
nonconvex,10.0,10.0,0.01,2.595781,2.595781,-3.617967,1567,0.018256,0.00418
nonconvex,1.0,-1.0,0.01,2.595733,-2.595733,-3.617967,402,0.005081,0.002148
nonconvex,-7.0,-4.0,0.1,-2.595208,-2.595632,-3.617965,182,0.002487,0.000431
nonconvex,10.0,10.0,0.1,2.595823,2.595823,-3.617967,261,0.003521,0.000438
nonconvex,1.0,-1.0,0.1,2.595769,-2.595769,-3.617967,205,0.002767,0.000375
rosenbrock,-7.0,-4.0,0.001,-3.496443,-0.004799,14977.292424,5000,0.058412,0.005164
rosenbrock,10.0,10.0,0.001,6.218529,14.120049,60297.757139,5000,0.041818,0.003959
rosenbrock,1.0,-1.0,0.001,0.320741,0.100518,0.461948,5000,0.045085,0.00749
rosenbrock,-7.0,-4.0,0.01,-1.881321,3.543726,8.30391,5000,0.041482,0.004703
rosenbrock,10.0,10.0,0.01,4.186467,17.529598,10.154528,5000,0.04781,0.010324
rosenbrock,1.0,-1.0,0.01,0.871351,0.758763,0.016575,5000,0.046784,0.00806
rosenbrock,-7.0,-4.0,0.1,-1.463356,2.145013,6.069421,5000,0.050404,0.010077
rosenbrock,10.0,10.0,0.1,4.098807,16.803233,9.603513,5000,0.05692,0.008916
rosenbrock,1.0,-1.0,0.1,0.999932,0.999864,0.0,2868,0.03521,0.006913
convex_bowl,-7.0,-4.0,0.001,-2.643397,-0.402936,7.149905,5000,0.055829,0.005269
convex_bowl,10.0,10.0,0.001,5.410034,5.410034,58.536932,5000,0.038223,0.00254
convex_bowl,1.0,-1.0,0.001,0.000111,-0.000111,0.0,3106,0.026032,0.003582
convex_bowl,-7.0,-4.0,0.01,-0.000113,-0.0,0.0,2557,0.022974,0.007351
convex_bowl,10.0,10.0,0.01,0.000091,0.000091,0.0,3462,0.028331,0.002943
convex_bowl,1.0,-1.0,0.01,4e-6,-4e-6,0.0,345,0.004556,0.000613
convex_bowl,-7.0,-4.0,0.1,-0.000077,3e-6,0.0,258,0.00211,0.000453
convex_bowl,10.0,10.0,0.1,-0.000018,-0.000018,0.0,365,0.002911,0.000475
convex_bowl,1.0,-1.0,0.1,-0.000036,0.000036,0.0,195,0.002664,0.000395
