Method,Objective Function,Start X,Start Y,Learning Rate,End X,End Y,Function At End,Number of Iterations,Avg Runtime,Stdev Runtime
adagrad,convex_bowl,-7,-4,0.001,-6.86,-3.86,61.97,5000,0.034,0.003
adagrad,convex_bowl,-7,-4,0.01,-5.65,-2.69,39.19,5000,0.046,0.004
adagrad,convex_bowl,-7,-4,0.1,-0.09,0.00,0.01,5000,0.044,0.007
adagrad,convex_bowl,1,-1,0.001,0.86,-0.86,1.49,5000,0.042,0.009
adagrad,convex_bowl,1,-1,0.01,0.09,-0.09,0.02,5000,0.044,0.008
adagrad,convex_bowl,1,-1,0.1,0.00,0.00,0.00,323,0.002,0.001
adagrad,convex_bowl,10,10,0.001,9.86,9.86,194.45,5000,0.032,0.003
adagrad,convex_bowl,10,10,0.01,8.64,8.64,149.13,5000,0.037,0.007
adagrad,convex_bowl,10,10,0.1,0.88,0.88,1.56,5000,0.034,0.003
adagrad,nonconvex,-7,-4,0.001,-6.86,-3.86,62.82,5000,0.046,0.009
adagrad,nonconvex,-7,-4,0.01,-5.38,-2.92,33.87,5000,0.051,0.003
adagrad,nonconvex,-7,-4,0.1,-2.60,-2.60,-3.62,2516,0.022,0.006
adagrad,nonconvex,1,-1,0.001,1.14,-1.14,10.93,5000,0.053,0.006
adagrad,nonconvex,1,-1,0.01,2.25,-2.25,-2.47,5000,0.050,0.010
adagrad,nonconvex,1,-1,0.1,2.60,-2.60,-3.62,462,0.004,0.001
adagrad,nonconvex,10,10,0.001,9.86,9.86,176.37,5000,0.052,0.008
adagrad,nonconvex,10,10,0.01,8.79,8.79,138.34,5000,0.049,0.007
adagrad,nonconvex,10,10,0.1,2.60,2.60,-3.62,4814,0.036,0.004
adagrad,rosenbrock,-7,-4,0.001,-6.86,-3.86,259554.90,5000,0.037,0.006
adagrad,rosenbrock,-7,-4,0.01,-5.74,-2.69,127178.33,5000,0.050,0.005
adagrad,rosenbrock,-7,-4,0.1,-2.04,2.73,211.54,5000,0.036,0.005
adagrad,rosenbrock,1,-1,0.001,0.87,-0.87,262.19,5000,0.053,0.009
adagrad,rosenbrock,1,-1,0.01,0.31,-0.10,4.33,5000,0.054,0.007
adagrad,rosenbrock,1,-1,0.1,0.51,0.26,0.24,5000,0.040,0.004
adagrad,rosenbrock,10,10,0.001,9.86,10.14,758770.72,5000,0.041,0.006
adagrad,rosenbrock,10,10,0.01,8.71,11.32,417038.69,5000,0.055,0.007
adagrad,rosenbrock,10,10,0.1,4.37,16.88,519.23,5000,0.040,0.003
adam,convex_bowl,-7,-4,0.001,-2.64,-0.40,7.15,5000,0.056,0.005
adam,convex_bowl,-7,-4,0.01,0.00,0.00,0.00,2557,0.023,0.007
adam,convex_bowl,-7,-4,0.1,0.00,0.00,0.00,258,0.002,0.000
adam,convex_bowl,1,-1,0.001,0.00,0.00,0.00,3106,0.026,0.004
adam,convex_bowl,1,-1,0.01,0.00,0.00,0.00,345,0.005,0.001
