Objective Function,Start X,Start Y,Learning Rate,End X,End Y,Function At End,Number of Iterations,Avg Runtime,Stdev Runtime
nonconvex,-7.0,-4.0,0.001,-2.595833,-2.59575,-3.617967,1097,0.003384,0.00027
nonconvex,10.0,10.0,0.001,2.595806,2.595806,-3.617967,1462,0.007125,0.001507
nonconvex,1.0,-1.0,0.001,2.595672,-2.595672,-3.617967,1030,0.00551,0.000948
nonconvex,-7.0,-4.0,0.01,-2.595748,-2.59574,-3.617967,128,0.000643,0.000111
nonconvex,10.0,10.0,0.01,2.595746,2.595746,-3.617967,163,0.000574,0.000227
nonconvex,1.0,-1.0,0.01,2.595733,-2.595733,-3.617967,121,0.000699,0.000338
nonconvex,-7.0,-4.0,0.1,-2.595739,-2.595739,-3.617967,9,0.00005,0.000036
nonconvex,10.0,10.0,0.1,2.595739,2.595739,-3.617967,11,0.000094,0.000031
nonconvex,1.0,-1.0,0.1,2.595739,-2.595739,-3.617967,8,0.000052,0.000026
rosenbrock,-7.0,-4.0,0.001,NaN,NaN,NaN,5000,0.024982,0.00505
rosenbrock,10.0,10.0,0.001,NaN,NaN,NaN,5000,0.025823,0.004991
rosenbrock,1.0,-1.0,0.001,0.956609,0.914923,0.001886,5000,0.022752,0.004963
rosenbrock,-7.0,-4.0,0.01,NaN,NaN,NaN,5000,0.021042,0.006976
rosenbrock,10.0,10.0,0.01,NaN,NaN,NaN,5000,0.024936,0.004177
rosenbrock,1.0,-1.0,0.01,NaN,NaN,NaN,5000,0.025145,0.003923
rosenbrock,-7.0,-4.0,0.1,NaN,NaN,NaN,5000,0.028211,0.007575
rosenbrock,10.0,10.0,0.1,NaN,NaN,NaN,5000,0.024602,0.003856
rosenbrock,1.0,-1.0,0.1,NaN,NaN,NaN,5000,0.024142,0.001555
convex_bowl,-7.0,-4.0,0.001,-0.000433,-0.000248,0.0,4841,0.023426,0.004971
convex_bowl,10.0,10.0,0.001,0.000449,0.000449,0.0,5000,0.022354,0.001604
convex_bowl,1.0,-1.0,0.001,0.000353,-0.000353,0.0,3971,0.017766,0.001366
convex_bowl,-7.0,-4.0,0.01,-0.000043,-0.000025,0.0,595,0.002771,0.00057
convex_bowl,10.0,10.0,0.01,0.000035,0.000035,0.0,623,0.002862,0.00057
convex_bowl,1.0,-1.0,0.01,0.000035,-0.000035,0.0,509,0.002377,0.000467
convex_bowl,-7.0,-4.0,0.1,-4e-6,-2e-6,0.0,66,0.000357,0.00012
convex_bowl,10.0,10.0,0.1,3e-6,3e-6,0.0,68,0.000314,0.00012
convex_bowl,1.0,-1.0,0.1,3e-6,-3e-6,0.0,58,0.000253,0.000079
