Objective Function,Start X,Start Y,Learning Rate,End X,End Y,Function At End,Number of Iterations,Avg Runtime,Stdev Runtime
nonconvex,-7.0,-4.0,1e-6,1e-6,-2.595739,8.191017,554,0.00749,0.000877
nonconvex,10.0,10.0,1e-6,-2.595739,-2.595739,-3.617967,33,0.000416,0.000108
nonconvex,1.0,-1.0,1e-6,0.0,-0.0,20.0,6,0.0001,0.000072
nonconvex,-7.0,-4.0,0.00001,2.595739,-2.595739,-3.617967,34,0.000515,0.000331
nonconvex,10.0,10.0,0.00001,-2.595739,-2.595739,-3.617967,239,0.003232,0.000559
nonconvex,1.0,-1.0,0.00001,0.0,-0.0,20.0,6,0.000083,0.000045
nonconvex,-7.0,-4.0,0.0,-13.089758,-2.595739,178.194088,5000,0.050287,0.011224
nonconvex,10.0,10.0,0.0,13.089758,13.089758,360.006143,5000,0.043977,0.004287
nonconvex,1.0,-1.0,0.0,-0.0,0.0,20.0,6,0.000102,0.000067
rosenbrock,-7.0,-4.0,1e-6,1.0,1.0,0.0,6,0.000071,0.000067
rosenbrock,10.0,10.0,1e-6,1.0,1.0,0.0,6,0.000062,0.000034
rosenbrock,1.0,-1.0,1e-6,1.0,1.0,0.0,2,0.00005,0.000077
rosenbrock,-7.0,-4.0,0.00001,1.0,1.0,0.0,6,0.000085,0.000051
rosenbrock,10.0,10.0,0.00001,1.0,1.0,0.0,6,0.000069,0.000048
rosenbrock,1.0,-1.0,0.00001,1.0,1.0,0.0,2,0.000042,0.000042
rosenbrock,-7.0,-4.0,0.0,1.0,0.999999,0.0,5,0.000087,0.000069
rosenbrock,10.0,10.0,0.0,1.0,1.0,0.0,5,0.000073,0.000044
rosenbrock,1.0,-1.0,0.0,1.0,1.0,0.0,2,0.000036,0.000028
convex_bowl,-7.0,-4.0,1e-6,0.0,0.0,0.0,2,0.000035,0.000047
convex_bowl,10.0,10.0,1e-6,0.0,0.0,0.0,2,0.000042,0.000051
convex_bowl,1.0,-1.0,1e-6,0.0,0.0,0.0,2,0.000029,0.000024
convex_bowl,-7.0,-4.0,0.00001,0.0,0.0,0.0,2,0.000028,0.000029
convex_bowl,10.0,10.0,0.00001,0.0,0.0,0.0,2,0.000034,0.000028
convex_bowl,1.0,-1.0,0.00001,0.0,0.0,0.0,2,0.000036,0.000049
convex_bowl,-7.0,-4.0,0.0,0.0,0.0,0.0,2,0.000046,0.000056
convex_bowl,10.0,10.0,0.0,0.0,0.0,0.0,2,0.000037,0.00005
convex_bowl,1.0,-1.0,0.0,0.0,0.0,0.0,2,0.000051,0.00006
